1;game;7daystodie;7 Days to Die;7 Days to Die;S'appuyant sur survivalistes et des thmes d'horreur, les joueurs de 7 jours  Die peuvent piger les villes abandonnes du monde de voxel constructible et destructible pour les fournitures ou explorer la nature  recueillir les matires premires pour construire leurs propres outils, des armes, des piges, des fortifications et des abris.;Building on survivalist and horror themes, players in 7 Days to Die can scavenge the abandoned cities of the buildable and destructable voxel world for supplies or explore the wilderness to gather raw materials to build their own tools, weapons, traps, fortifications and shelters.; 22.99 ;;18
1;game;a machine for pigs;Amnesia: A Machine for Pigs;Amnesia: A Machine for Pigs;Le monde est une machine. Une machine pour les porcs. Une machine réservée à l’abattage des porcs. Découvrez le nouveau jeu d’horreur à la première personne des auteurs d’Amnesia: The Dark Descent et de Dear Esther, et plongez dans les profondeurs de la cupidité, du pouvoir et de la folie.;This world is a Machine. A Machine for Pigs. Fit only for the slaughtering of Pigs. From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed, power and madness. It will bury its snout into your ribs and it will eat your heart.; 16.49 ;;18
1;game;braid;Braid;Braid;Braid est un jeu de plateforme et d'énigmes dans lequel vous contrôlez le temps de manière originale. Volez au secours d'une princesse et parcourez plusieurs mondes. Vous disposerez dans chaque monde de pouvoirs spécifiques.;Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess.; 8.99 ;;12
1;game;brothers;Brothers;Brothers;Menez deux frères à travers un voyage épique, par le réalisateur visionnaire suédois Josef Fares et le célèbre studio de développement Starbreeze Studios. Contrôlez les deux frères simultanément en mode solo, dans un mode coopératif totalement inédit.;Guide two brothers on an epic fairy tale journey from visionary Swedish film director, Josef Fares and top-tier developer Starbreeze Studios. Control both brothers at once as you experience co-op play in single player mode, like never before.; 13.99 ;;16
1;game;caribbean;Caribbean!;Caribbean!;Caraïbes! est un pirate sandbox RPG avec un accent plus important sur les batailles (à la fois sur terre et dans la mer) et de la gestion du caractère de joueur et son équipage.;Caribbean! is a sandbox pirate RPG with a larger focus on battles (both on land and in the sea) and management of player's character and his crew.; 13.99 ;;18
1;game;contagion;Contagion;Contagion;Contagion n'est pas votre moyenne Zombie Shooter mais prend place une approche plus raliste et diffrente dans le genre populaire avec des personnages uniques, environnements, armes, objets, et construit dans le systme qui fait de chaque tour totalement imprvisible avec des ressources, des objectifs et des chemins jamais volution.;Contagion isn't your average Zombie Shooter but instead takes a more realistic and different approach to the popular genre with unique characters, environments, weapons, items, and a built in system that makes every round completely unpredictable with resources, objectives, and paths ever changing.; 18.99 ;;18
1;game;craft the world;Craft The World;Craft The World;Craft The World est un jeu de stratgie sandbox unique, le mlange de Dungeon Keeper, Terraria et Dwarf Fortress. Explorez un monde gnr alatoirement peupl de cratures dangereuses, construire une forteresse naine, rassembler des ressources, et de l'artisanat de tous les objets, armes et armures dont vous avez besoin.;Craft The World is a unique sandbox strategy game, the mix of Dungeon Keeper, Terraria and Dwarf Fortress. Explore a random generated world populated by dangerous creatures, build a dwarf fortress, gather resources, and craft all the items, weapons, and armor you need.; 14.99 ;;7
1;game;darkwood;Darkwood;Darkwood;Darkwood est un jeu de survie, l'exploration et la peur situe dans les bois mystrieux, quelque part dans le territoire du Bloc sovitique. En mlangeant RPG, Rogue et lments d'aventure avec une difficult difficile, Darkwood vise  satisfaire les joueurs en manque de une exprience profonde et enrichissante.;Darkwood is a game about survival, exploration and fear set in mysterious woods somewhere in the territory of the Soviet Bloc. By blending RPG, roguelike and adventure elements together with a challenging difficulty, Darkwood aims to please players craving for a deep and rewarding experience.; 16.99 ;;16
1;game;daylight;Daylight;Daylight;Vous vous rveillez prisonnier d'un hpital abandonn, votre tlphone pour seule source de lumire. Incapable d'avancer, vous tournez en rond tandis que derrire, vous percevez une prsence et des bruits tranges... Dcouvrez Daylight, un thriller psychologique par gnration automatique sur PC.;You awake, trapped in an abandoned hospital. Your only source of light is your phone. You hit a dead-end and must turn around, but behind you lurks an eerie presence and strange noises... Experience Daylight, a procedurally generated psychological thriller for your PC.; 13.99 ;;16
1;game;dayz;DayZ;DayZ;ATTENTION : CE JEU EST UNE VERSION ALPHA EN ACCÈS ANTICIPÉ. MERCI D'ACHETER CE JEU UNIQUEMENT SI VOUS SOUHAITEZ PARTICIPER ACTIVEMENT AU DÉVELOPPEMENT DU JEU ET ÊTES PRÊT À SUBIR DES PROBLÈMES POUVANT ENTRAÎNER UN MAUVAIS FONCTIONNEMENT ET DES INTERRUPTIONS DANS LE JEU. ;WARNING: THIS GAME IS EARLY ACCESS ALPHA. PLEASE DO NOT PURCHASE IT UNLESS YOU WANT TO ACTIVELY SUPPORT DEVELOPMENT OF THE GAME AND ARE PREPARED TO HANDLE WITH SERIOUS ISSUES AND POSSIBLE INTERRUPTIONS OF GAME FUNCTIONING.; 23.99 ;;18
